"Sample","ModuleScore","Module","Genotype","Timepoint","Day","Ctrl_Mean","Divergence"
"D65RC_1123",8.18782837382544,"Synaptic Ribosomes","R403C","D65",65,8.55004576812215,-0.362217394296701
"D65RCD5_423",8.55075727756385,"Synaptic Ribosomes","R403C","D65",65,8.55004576812215,0.000711509441707392
"D65RCG3_222",8.5386242496049,"Synaptic Ribosomes","R403C","D65",65,8.55004576812215,-0.0114215185172437
"D65RCG3_423",8.38896593517337,"Synaptic Ribosomes","R403C","D65",65,8.55004576812215,-0.161079832948774
"D35Ctrl_222",5.38282724758362,"Mitochondrial Ribosome","Ctrl","D35",35,5.08066567203459,0.30216157554903
"D35Ctrl_322",5.04981181234463,"Mitochondrial Ribosome","Ctrl","D35",35,5.08066567203459,-0.0308538596899588
"D35Ctrl_323",4.80935795617552,"Mitochondrial Ribosome","Ctrl","D35",35,5.08066567203459,-0.271307715859072
"D35GAF7_322",4.86879313878391,"Mitochondrial Ribosome","G32A","D35",35,5.08066567203459,-0.211872533250682
"D35GAF7_323",4.65835131613475,"Mitochondrial Ribosome","G32A","D35",35,5.08066567203459,-0.422314355899835
"D35GAG5_222",5.3607497040077,"Mitochondrial Ribosome","G32A","D35",35,5.08066567203459,0.280084031973113
"D35GAG5_322",4.69878591200082,"Mitochondrial Ribosome","G32A","D35",35,5.08066567203459,-0.381879760033772
"D35GAG5_323",4.75766036699179,"Mitochondrial Ribosome","G32A","D35",35,5.08066567203459,-0.323005305042804
"D35RCD5_222",5.48883619479292,"Mitochondrial Ribosome","R403C","D35",35,5.08066567203459,0.408170522758326
"D35RCD5_322",4.77941956189337,"Mitochondrial Ribosome","R403C","D35",35,5.08066567203459,-0.30124611014122
"D35RCD5_323",4.72154103442668,"Mitochondrial Ribosome","R403C","D35",35,5.08066567203459,-0.359124637607905
"D35RCG3_222",5.28389931697614,"Mitochondrial Ribosome","R403C","D35",35,5.08066567203459,0.203233644941552
"D35RCG3_322",4.86181065001028,"Mitochondrial Ribosome","R403C","D35",35,5.08066567203459,-0.218855022024309
"D35RCG3_323",4.72727249570975,"Mitochondrial Ribosome","R403C","D35",35,5.08066567203459,-0.353393176324842
"D65Ctrl_1123",4.77558155463901,"Mitochondrial Ribosome","Ctrl","D65",65,4.78088499753151,-0.0053034428924974
"D65Ctrl_222",4.9038253919284,"Mitochondrial Ribosome","Ctrl","D65",65,4.78088499753151,0.122940394396899
"D65Ctrl_423",4.66324804602711,"Mitochondrial Ribosome","Ctrl","D65",65,4.78088499753151,-0.117636951504401
"D65GA_1123",4.7308282989642,"Mitochondrial Ribosome","G32A","D65",65,4.78088499753151,-0.0500566985673094
"D65GAF7_222",4.86951382861054,"Mitochondrial Ribosome","G32A","D65",65,4.78088499753151,0.0886288310790313
"D65GAF7_423",4.68032458969855,"Mitochondrial Ribosome","G32A","D65",65,4.78088499753151,-0.100560407832956
"D65GAG5_423",4.59255832720457,"Mitochondrial Ribosome","G32A","D65",65,4.78088499753151,-0.188326670326931
"D65RC_1123",4.78145336731507,"Mitochondrial Ribosome","R403C","D65",65,4.78088499753151,0.000568369783562339
"D65RCD5_423",4.69062198048801,"Mitochondrial Ribosome","R403C","D65",65,4.78088499753151,-0.0902630170434966
"D65RCG3_222",5.21957101113192,"Mitochondrial Ribosome","R403C","D65",65,4.78088499753151,0.438686013600417
"D65RCG3_423",4.65161943270439,"Mitochondrial Ribosome","R403C","D65",65,4.78088499753151,-0.129265564827112
"D35Ctrl_222",5.26238224332773,"Mito Ribosome Assembly","Ctrl","D35",35,5.17365388724947,0.0887283560782652
"D35Ctrl_322",5.16560940942042,"Mito Ribosome Assembly","Ctrl","D35",35,5.17365388724947,-0.00804447782904649
"D35Ctrl_323",5.09297000900025,"Mito Ribosome Assembly","Ctrl","D35",35,5.17365388724947,-0.0806838782492187
"D35GAF7_322",4.85196093755367,"Mito Ribosome Assembly","G32A","D35",35,5.17365388724947,-0.321692949695797
"D35GAF7_323",4.82917831971832,"Mito Ribosome Assembly","G32A","D35",35,5.17365388724947,-0.344475567531149
"D35GAG5_222",5.2359566078828,"Mito Ribosome Assembly","G32A","D35",35,5.17365388724947,0.0623027206333386
"D35GAG5_322",4.73309180442661,"Mito Ribosome Assembly","G32A","D35",35,5.17365388724947,-0.440562082822856
"D35GAG5_323",5.00625724711126,"Mito Ribosome Assembly","G32A","D35",35,5.17365388724947,-0.167396640138205
"D35RCD5_222",5.36025925473065,"Mito Ribosome Assembly","R403C","D35",35,5.17365388724947,0.186605367481189
"D35RCD5_322",4.67442617685606,"Mito Ribosome Assembly","R403C","D35",35,5.17365388724947,-0.499227710393405
"D35RCD5_323",4.92249847838286,"Mito Ribosome Assembly","R403C","D35",35,5.17365388724947,-0.251155408866603
"D35RCG3_222",5.15419145280152,"Mito Ribosome Assembly","R403C","D35",35,5.17365388724947,-0.0194624344479415
"D35RCG3_322",4.94913397931439,"Mito Ribosome Assembly","R403C","D35",35,5.17365388724947,-0.22451990793508
"D35RCG3_323",4.92352802708138,"Mito Ribosome Assembly","R403C","D35",35,5.17365388724947,-0.250125860168081
