"Pool","Pathway_Short","Description","Contrast","Mutation","Timepoint","NES","p.adjust","pvalue","setSize"
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Ribosome","Mitochondrial_ribosome","R403C_vs_Ctrl_D35","R403C","Early (D35)",-1.63180235640333,0.033944796845534,0.00377164409394823,77
"3. Mitochondrial Ribosomes (MitoCarta)","Translation Factors","Translation_factors","R403C_vs_Ctrl_D35","R403C","Early (D35)",0.726055602837143,0.945757772020725,0.840673575129534,15
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Central Dogma","Mitochondrial_central_dogma","Maturation_R403C_specific","R403C","TrajDev (Maturation)",2.02079237320723,7.99580556811653e-07,1.1105285511273e-08,216
"3. Mitochondrial Ribosomes (MitoCarta)","Translation","Translation","Maturation_R403C_specific","R403C","TrajDev (Maturation)",1.86947434254709,0.000507233105524749,1.40898084867986e-05,145
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Ribosome","Mitochondrial_ribosome","Maturation_R403C_specific","R403C","TrajDev (Maturation)",1.75016515808853,0.0166862707768002,0.000927015043155565,77
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Ribosome Assembly","Mitochondrial_ribosome_assembly","Maturation_R403C_specific","R403C","TrajDev (Maturation)",1.8635574676453,0.0266900790166813,0.00281603219870877,24
"3. Mitochondrial Ribosomes (MitoCarta)","Translation Factors","Translation_factors","Maturation_R403C_specific","R403C","TrajDev (Maturation)",0.610751871241932,0.993521000893655,0.939732551749405,15
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Central Dogma","Mitochondrial_central_dogma","R403C_vs_Ctrl_D65","R403C","Late (D65)",1.56009803638643,0.00871969015181742,0.000487758194977237,216
"3. Mitochondrial Ribosomes (MitoCarta)","Translation","Translation","R403C_vs_Ctrl_D65","R403C","Late (D65)",1.37867077326738,0.147878787878788,0.0225925925925926,145
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Ribosome Assembly","Mitochondrial_ribosome_assembly","R403C_vs_Ctrl_D65","R403C","Late (D65)",1.2872672434351,0.38579836719195,0.140530303030303,24
"3. Mitochondrial Ribosomes (MitoCarta)","Mitochondrial Ribosome","Mitochondrial_ribosome","R403C_vs_Ctrl_D65","R403C","Late (D65)",1.04753992358279,0.674847283249384,0.367408525084874,77
"3. Mitochondrial Ribosomes (MitoCarta)","Translation Factors","Translation_factors","R403C_vs_Ctrl_D65","R403C","Late (D65)",0.935318731426112,0.79249617151608,0.550344563552833,15
