"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast"
"MYLK32",-0.248777104616792,0.495328928366874,-0.426751774853212,0.673803924581332,0.999978842479825,-5.12728257543373,"G32A_vs_Ctrl_D65"
"ATP2A12",0.0179199746631347,1.82781790452184,0.0553393309529662,0.956377452600785,0.999978842479825,-5.33650735989213,"G32A_vs_Ctrl_D65"
"CALB12",0.603510423326916,3.90867535588446,0.452468008396714,0.655467239082099,0.999978842479825,-5.40238553120141,"G32A_vs_Ctrl_D65"
"RYR12",-0.0932380179099099,2.97137899000881,-0.0766434019181093,0.939616448693086,0.999978842479825,-5.56771941505546,"G32A_vs_Ctrl_D65"
"CALR2",-0.429072778300711,9.0006934299441,-0.735935870088703,0.469728524174153,0.999978842479825,-5.68479285215731,"G32A_vs_Ctrl_D65"
"STIM12",0.0943417625326699,5.66674968015069,0.402403607245629,0.691353010519003,0.999978842479825,-5.74455519716455,"G32A_vs_Ctrl_D65"
"STIM22",-0.0388291669779015,5.14868837713505,-0.122384138238178,0.903732298865551,0.999978842479825,-5.78129294629071,"G32A_vs_Ctrl_D65"
"CACNG33",-2.11363471317345,-1.38710816601042,-2.2261828061402,0.0368220100156142,0.999946253490425,-3.83059557988874,"R403C_vs_Ctrl_D65"
"CACNA1S3",1.97478585389076,-2.66065688336907,1.38650929375236,0.179811264964014,0.999946253490425,-4.48692187085112,"R403C_vs_Ctrl_D65"
"ATP2A13",-0.323942199232559,1.82781790452184,-0.982337375620471,0.336823076028916,0.999946253490425,-4.8742153108101,"R403C_vs_Ctrl_D65"
"VDR3",0.156804066828956,-1.27410442368784,0.124801291360648,0.901841163618474,0.999946253490425,-5.06388154831573,"R403C_vs_Ctrl_D65"
"MYLK33",0.11938292569812,0.495328928366874,0.208232878921723,0.837007564386664,0.999946253490425,-5.10147663088059,"R403C_vs_Ctrl_D65"
"RYR13",-0.754044360589785,2.97137899000881,-0.574189140123834,0.57180275283885,0.999946253490425,-5.2611290263453,"R403C_vs_Ctrl_D65"
"CALB13",0.325912984917909,3.90867535588446,0.242047869526726,0.811038407350996,0.999946253490425,-5.35243480609777,"R403C_vs_Ctrl_D65"
"STIM23",0.0121538991379131,5.14868837713505,0.038363649235977,0.96975197139654,0.999946253490425,-5.67115233777343,"R403C_vs_Ctrl_D65"
"STIM13",-0.0119074667239198,5.66674968015069,-0.0506353315594718,0.960082789305676,0.999946253490425,-5.69902930438408,"R403C_vs_Ctrl_D65"
"CALR3",0.0233144368519849,9.0006934299441,0.0402208374401766,0.968288468286773,0.999946253490425,-5.82868660733321,"R403C_vs_Ctrl_D65"
"CACNA1S4",-1.83661457040997,-2.66065688336907,-1.62098807659656,0.119604717143548,0.409381110923032,-4.33562511245729,"G32A_vs_G32A_D65_vs_D35"
"MYLK34",-0.809892732394543,0.495328928366874,-1.61835940409972,0.120166137596751,0.410422482806696,-4.61851250245746,"G32A_vs_G32A_D65_vs_D35"
"CACNG34",-1.12801519027751,-1.38710816601042,-1.22281078498608,0.234645055743012,0.542901369568784,-4.82466817081208,"G32A_vs_G32A_D65_vs_D35"
"STIM24",0.492101474350553,5.14868837713505,1.7027151925698,0.103046289240063,0.385812016697565,-5.03428236016646,"G32A_vs_G32A_D65_vs_D35"
"CALR4",-0.92102096826866,9.0006934299441,-1.80581368899101,0.084978382852279,0.359342022543711,-5.06531432037232,"G32A_vs_G32A_D65_vs_D35"
"VDR4",1.3902315960723,-1.27410442368784,1.02124804237162,0.318498876969472,0.621405253957989,-5.08075090243112,"G32A_vs_G32A_D65_vs_D35"
"ATP2A14",0.38668585021922,1.82781790452184,1.33495119508531,0.19581025294064,0.503322128067649,-5.09682192864885,"G32A_vs_G32A_D65_vs_D35"
"CALB14",-1.11844056819362,3.90867535588446,-1.08311701979327,0.290762304270142,0.597647704797827,-5.67077309528651,"G32A_vs_G32A_D65_vs_D35"
"RYR14",0.758316176554352,2.97137899000881,0.665567910988807,0.512769738136219,0.763742149742453,-5.93383091917065,"G32A_vs_G32A_D65_vs_D35"
"STIM14",-0.0817944178305936,5.66674968015069,-0.400193300258951,0.692955872699357,0.866098758491452,-6.41470352898861,"G32A_vs_G32A_D65_vs_D35"
"CACNG35",-1.17647635502249,-1.38710816601042,-1.32093934204526,0.20041829401332,0.488375081466238,-4.73743328656556,"R403C_vs_R403C_D65_vs_D35"
"VDR5",1.28669103107966,-1.27410442368784,1.10107240745362,0.283047915771292,0.568194076879038,-5.10730230112905,"R403C_vs_R403C_D65_vs_D35"
"CACNA1S5",-0.662782582527711,-2.66065688336907,-0.720257039255339,0.479129867368442,0.721860260986032,-5.23725142437804,"R403C_vs_R403C_D65_vs_D35"
"ATP2A15",-0.334346642679723,1.82781790452184,-1.19500542650118,0.245057497370957,0.532849954649923,-5.27176419738743,"R403C_vs_R403C_D65_vs_D35"
"MYLK35",-0.464053212894927,0.495328928366874,-0.986129400959086,0.335040419043747,0.612201085900879,-5.37245605263785,"R403C_vs_R403C_D65_vs_D35"
"STIM25",0.357421599044875,5.14868837713505,1.30759276005341,0.20483102604149,0.49240859634217,-5.61697224665731,"R403C_vs_R403C_D65_vs_D35"
"CALR5",-0.678977924028532,9.0006934299441,-1.39634746046776,0.176870014215911,0.462701070134812,-5.69535661573348,"R403C_vs_R403C_D65_vs_D35"
"CALB15",-1.04688089083697,3.90867535588446,-1.00886649532716,0.324265956515065,0.603236351374952,-5.72549240057139,"R403C_vs_R403C_D65_vs_D35"
"RYR15",0.334893204869434,2.97137899000881,0.27800131801853,0.78366899143916,0.902740861538937,-6.04603637212194,"R403C_vs_R403C_D65_vs_D35"
"STIM15",-0.0474353632815028,5.66674968015069,-0.238954435917186,0.813400060773939,0.91884431684178,-6.47966635526973,"R403C_vs_R403C_D65_vs_D35"
"STIM16",0.546746575993782,5.66674968015069,2.11493207704911,0.0462511936316569,0.362627213024446,-4.13550395282338,"Time_Ctrl"
"RYR16",2.86803685462484,2.97137899000881,1.74171202343528,0.0958589136586408,0.458340659515507,-4.39255145111035,"Time_Ctrl"
"VDR6",2.33485917404106,-1.27410442368784,1.35734199368231,0.188760269510981,0.566426608709235,-4.58480250251249,"Time_Ctrl"
"CACNA1S6",-1.02142230284419,-2.66065688336907,-0.642586255741819,0.527290758107241,0.808936330094505,-4.88655860319416,"Time_Ctrl"
"CACNG36",-0.929207500618656,-1.38710816601042,-1.18009944787271,0.250861636368338,0.622074708937241,-4.89314535610146,"Time_Ctrl"
"MYLK36",0.497023396811857,0.495328928366874,0.783749116445305,0.441738485246296,0.758411625667818,-5.21878823726572,"Time_Ctrl"
"ATP2A16",0.268131486552995,1.82781790452184,0.763992428502471,0.453147396299729,0.765945736634652,-5.38752072277057,"Time_Ctrl"
"CALB16",0.177037644190963,3.90867535588446,0.119438738416684,0.90603751425133,0.971289873421133,-5.7935435739472,"Time_Ctrl"
"STIM26",0.277074608992964,5.14868837713505,0.806861994492608,0.428587671721891,0.749788638639203,-5.82277247041553,"Time_Ctrl"
"CALR6",-0.165139888566523,9.0006934299441,-0.267195905635862,0.791866273462601,0.930874293259316,-6.2911431307945,"Time_Ctrl"
"CACNA1S7",-1.83661457040997,-2.66065688336907,-1.62098807659656,0.119604717143548,0.409381110923032,-4.33562511245729,"Time_G32A"
